rank,name,location,national_rank,quality_of_education,alumni_employment,quality_of_faculty,research_performance,score,domain
111,University of Helsinki,Finland,1,221,1020,167,84,81.3,helsinki.fi
112,University of New South Wales,Australia,4,512,111,-,77,81.3,unsw.edu.au
113,University of Montreal,Canada,5,445,462,136,99,81.3,umontreal.ca
114,Sapienza University of Rome,Italy,1,463,480,115,103,81.2,uniroma1.it
115,KU Leuven,Belgium,1,-,400,-,50,81.2,kuleuven.be
116,INSEAD,France,6,-,3,-,1573,81.1,insead.edu
117,Zhejiang University,China,5,-,436,-,52,81.1,zju.edu.cn
118,Ghent University,Belgium,2,391,603,191,79,81.1,ugent.be
119,University of Southampton,United Kingdom,11,452,378,98,113,81,southampton.ac.uk
120,University of Glasgow,United Kingdom,12,138,338,131,120,81,gla.ac.uk
121,Emory University,USA,54,471,223,-,63,81,emory.edu
122,Tufts University,USA,55,81,62,164,225,80.9,tufts.edu
123,Australian National University,Australia,5,162,647,79,138,80.9,anu.edu.au
124,Case Western Reserve University,USA,56,63,262,181,144,80.8,case.edu
125,University of Tübingen,Germany,7,71,1049,108,150,80.8,uni-tuebingen.de
126,Baylor College of Medicine,USA,57,69,-,201,124,80.8,bcm.edu
127,University of Freiburg,Germany,8,127,215,102,153,80.7,uni-freiburg.de
128,Fudan University,China,6,311,127,-,89,80.7,fudan.edu.cn
129,Goethe University Frankfurt,Germany,9,309,763,30,184,80.7,goethe-university-frankfurt.de
130,Monash University,Australia,6,-,425,-,68,80.6,monash.edu
131,University of Nottingham,United Kingdom,13,184,450,104,135,80.6,nottingham.ac.uk
132,Tohoku University,Japan,5,196,154,137,146,80.6,tohoku.ac.jp
133,University of Barcelona,Spain,1,-,535,-,67,80.5,ub.edu
134,University of Liverpool,United Kingdom,14,135,470,92,152,80.5,liverpool.ac.uk
135,KTH Royal Institute of Technology,Sweden,3,242,53,176,227,80.5,kth.se
136,Lund University,Sweden,4,204,612,250,87,80.4,lu.se
137,Grenoble Alpes University,France,7,258,1056,233,94,80.4,univ-grenoble-alpes.fr
138,Nagoya University,Japan,6,90,225,106,186,80.4,nagoya-u.ac.jp
139,Rice University,USA,58,117,91,107,235,80.3,rice.edu
140,Nanyang Technological University,Singapore,2,-,996,-,75,80.3,ntu.edu.sg
141,University of Bonn,Germany,10,133,527,138,142,80.3,uni-bonn.de
142,Tokyo Institute of Technology,Japan,7,314,83,73,262,80.2,titech.ac.jp
143,University of Iowa,USA,59,143,337,186,132,80.2,uiowa.edu
144,University of Bern,Switzerland,6,156,1267,166,130,80.2,unibe.ch
145,University of Colorado Anschutz Medical Campus,USA,60,-,-,91,148,80.2,cuanschutz.edu
146,VU Amsterdam,Netherlands,6,-,1100,-,82,80.1,vu.nl
147,University of Strasbourg,France,8,118,1496,50,215,80.1,unistra.fr
148,University of Sheffield,United Kingdom,15,226,559,148,139,80.1,sheffield.ac.uk
149,University of Science and Technology of China,China,7,-,345,-,93,80,ustc.edu.cn
150,Michigan State University,USA,61,178,253,-,105,80,msu.edu
151,University of Western Australia,Australia,7,228,699,195,128,80,uwa.edu.au
152,Tel Aviv University,Israel,3,363,151,-,119,79.9,tau.ac.il
153,Cardiff University,United Kingdom,16,384,493,85,168,79.9,cardiff.ac.uk
154,Radboud University,Netherlands,7,434,651,-,96,79.9,ru.nl
155,Queen Mary University of London,United Kingdom,17,112,734,142,164,79.9,qmul.ac.uk
156,University of Massachusetts Amherst,USA,62,473,264,63,209,79.8,umass.edu
157,Aix-Marseille University,France,9,506,940,-,98,79.8,univ-amu.fr
158,Technion – Israel Institute of Technology,Israel,4,114,332,64,239,79.8,technion.ac.il
159,Stockholm University,Sweden,5,277,366,99,177,79.7,su.se
160,McMaster University,Canada,6,418,743,217,127,79.7,mcmaster.ca
161,University of Notre Dame,USA,63,301,36,-,284,79.7,nd.edu
162,École nationale d'administration,France,10,-,2,-,-,79.7,ena.fr
