rank,name,location,national_rank,quality_of_education,alumni_employment,quality_of_faculty,research_performance,score,domain
1626,Shaanxi University of Science and Technology,China,215,-,848,-,1554,67.2,sust.edu.cn
1627,"California State University, Los Angeles",USA,312,-,790,-,1561,67.2,calstatela.edu
1628,University of Arkansas at Little Rock,USA,313,-,1201,-,1550,67.2,ualr.edu
1629,Anhui Agricultural University,China,216,-,-,-,1549,67.2,ahau.edu.cn
1630,Guilin University of Electronic Technology,China,217,-,-,-,1551,67.2,gliet.edu.cn
1631,G.K. Boreskov Institute of Catalysis of the Siberian Branch of the Russian Academy of Sciences,Russia,28,-,-,-,1552,67.2,catalysis.ru
1632,Liaoning University,China,218,-,958,-,1562,67.2,lnu.edu.cn
1633,Open University of Catalonia,Spain,50,-,-,202,-,67.2,uoc.edu
1634,Beni Suef University,Egypt,13,-,-,-,1555,67.2,bsu.edu.eg
1635,Shanxi Medical University,China,219,-,-,-,1557,67.2,sxmu.edu.cn
1636,Rowan University,USA,314,-,-,-,1558,67.2,rowan.edu
1637,PLA University of Science and Technology,China,220,-,-,-,1559,67.2,plaust.edu.cn
1638,University of La Rioja,Spain,51,-,-,-,1560,67.2,unirioja.es
1639,University of Indonesia,Indonesia,1,-,688,-,1587,67.2,ui.ac.id
1640,Ariel University,Israel,8,-,-,-,1563,67.2,ariel.ac.il
1641,Bharathiar University,India,43,-,1395,-,1565,67.2,b-u.ac.in
1642,Moscow Conservatory,Russia,29,45,-,-,-,67.2,mosconsv.ru
1643,Catholic University of Portugal,Portugal,11,-,594,-,1606,67.1,ucp.pt
1644,University of Québec at Trois-Rivières,Canada,38,-,-,-,1564,67.1,uqtr.ca
1645,Saint Mary's University,Canada,39,-,1120,-,1570,67.1,smu.ca
1646,Thammasat University,Thailand,8,-,511,-,1640,67.1,tu.ac.th
1647,Appalachian State University,USA,315,-,1266,-,1568,67.1,appstate.edu
1648,North University of China,China,221,-,-,-,1566,67.1,nuc.edu.cn
1649,Kyorin University,Japan,100,-,-,-,1567,67.1,kyorin-u.ac.jp
1650,Southern Federal University,Russia,30,-,-,-,1569,67.1,sfedu.ru
1651,Technological Institute of Aeronautics,Brazil,45,-,141,-,-,67.1,ita.br
1652,Catholic University of the North,Chile,11,-,-,-,1571,67.1,ucn.cl
1653,University of Molise,Italy,60,-,-,-,1572,67.1,unimol.it
1654,Beijing University of Chinese Medicine,China,222,-,-,-,1574,67.1,bucm.edu.cn
1655,Nelson Mandela University,South Africa,12,-,1212,-,1577,67.1,mandela.ac.za
1656,Indian Institute of Technology Hyderabad,India,44,-,-,-,1575,67.1,iith.ac.in
1657,Akita University,Japan,101,-,-,-,1576,67.1,akita-u.ac.jp
1658,Chapman University,USA,316,-,875,-,1586,67.1,chapman.edu
1659,Duy Tân University,Vietnam,3,-,-,-,1578,67.1,duytan.edu.vn
1660,Changchun University of Science and Technology,China,223,-,-,-,1579,67.1,cust.edu.cn
1661,University of the Philippines Manila,Philippines,2,-,813,-,1589,67.1,upm.edu.ph
1662,Idaho State University,USA,317,442,-,-,1584,67.1,isu.edu
1663,Krasnoyarsk Science Center of the Siberian Branch of the Russian Academy of Sciences,Russia,31,-,-,-,1580,67.1,ksc.krasn.ru
1664,Union College,USA,318,182,150,-,-,67.1,union.edu
1665,Menoufia University,Egypt,14,-,-,-,1581,67.1,menofia.edu.eg
1666,Estonian University of Life Sciences,Estonia,3,-,-,-,1582,67.1,emu.ee
1667,Japan Advanced Institute of Science and Technology,Japan,102,-,-,-,1583,67.1,jaist.ac.jp
1668,Shanghai Maritime University,China,224,-,524,-,1647,67,shmtu.edu.cn
1669,University of Rajasthan,India,45,-,1495,-,1585,67,uniraj.ac.in
1670,Lawrence University,USA,319,56,819,-,-,67,lawrence.edu
1671,Peoples' Friendship University of Russia,Russia,32,-,981,-,1590,67,rudn.ru
1672,BI Norwegian Business School,Norway,11,-,386,253,1976,67,bi.no
1673,University of Zimbabwe,Zimbabwe,1,-,868,-,1599,67,uz.ac.zw
1674,Mimar Sinan Fine Arts University,Turkey,39,-,-,-,1588,67,msgsu.edu.tr
1675,Federation University Australia,Australia,36,-,-,-,1591,67,federation.edu.au
1676,Hongik University,South Korea,53,-,1094,-,1598,67,hongik.ac.kr
1677,Central University of Venezuela,Venezuela,1,-,1427,-,1595,67,ucv.ve
1678,Central European University,Hungary,7,-,-,-,1596,67,ceu.edu
1679,Oslo Metropolitan University,Norway,12,-,-,-,1600,67,oslomet.no
1680,University of Shizuoka,Japan,103,-,963,-,1616,67,u-shizuoka-ken.ac.jp
1681,Guangdong Medical University,China,225,-,-,-,1601,67,gdmu.edu.cn
1682,Harbin University of Science and Technology,China,226,-,-,-,1602,67,hrbust.edu.cn
1683,Kansai Medical University,Japan,104,-,-,-,1603,67,kmu.ac.jp
1684,Central Queensland University,Australia,37,-,-,-,1604,67,cqu.edu.au
1685,Yangtze University,China,227,-,936,-,1619,67,yangtzeu.edu.cn
1686,Wellesley College,USA,320,-,630,-,1648,67,wellesley.edu
1687,St. Marianna University School of Medicine,Japan,105,-,-,-,1605,67,marianna-u.ac.jp
1688,Eulji University,South Korea,54,-,-,-,1607,67,eulji.ac.kr
1689,ISCTE – University Institute of Lisbon,Portugal,12,-,593,-,1662,67,iscte-iul.pt
1690,University of Koblenz-Landau,Germany,69,-,-,-,1608,67,uni-koblenz-landau.de
1691,Catholic University of Daegu,South Korea,55,-,-,-,1609,67,cu.ac.kr
1692,Kütahya Dumlupınar University,Turkey,40,-,-,-,1610,67,dumlupinar.edu.tr
1693,"University of Puerto Rico, Río Piedras Campus",USA,321,-,-,-,1611,66.9,uprrp.edu
1694,Dokkyo Medical University,Japan,106,-,-,-,1612,66.9,dokkyomed.ac.jp
1695,Pontifical Catholic University of Paraná,Brazil,46,-,1469,-,1613,66.9,pucpr.br
1696,Federal University of Rio Grande,Brazil,47,-,-,-,1614,66.9,furg.br
1697,Paris Nanterre University,France,73,-,604,-,1664,66.9,parisnanterre.fr
1698,Hunan University of Science and Technology,China,228,-,-,-,1615,66.9,hnust.edu.cn
1699,Institut supérieur de l'aéronautique et de l'espace,France,74,-,183,-,-,66.9,isae-supaero.fr
1700,Transilvania University of Brașov,Romania,9,-,-,-,1617,66.9,unitbv.ro
1701,Kyoto Institute of Technology,Japan,107,-,-,-,1618,66.9,kit.ac.jp
1702,University of Westminster,United Kingdom,88,288,1082,-,1654,66.9,westminster.ac.uk
1703,Hamilton College,USA,322,73,448,-,-,66.9,hamilton.edu
1704,A.M. Prokhorov General Physics Institute of the Russian Academy of Sciences,Russia,33,-,-,-,1620,66.9,gpi.ru
1705,Institute for Nuclear Research of the National Academy of Sciences of Ukraine,Ukraine,2,-,-,-,1621,66.9,kinr.kiev.ua
1706,A.N. Nesmeyanov Institute of Organoelement Compounds of the Russian Academy of Sciences,Russia,34,-,-,-,1622,66.9,ineos.ac.ru
1707,East Tennessee State University,USA,323,-,-,-,1623,66.9,etsu.edu
1708,Eskişehir Osmangazi University,Turkey,41,-,-,-,1624,66.9,ogu.edu.tr
1709,European University Institute,Italy,61,-,-,-,1625,66.9,eui.eu
1710,University of Cassino and Southern Lazio,Italy,62,-,-,-,1626,66.9,unicas.it
1711,Meiji University,Japan,108,-,708,-,1652,66.9,meiji.ac.jp
1712,Shenyang Agricultural University,China,229,-,-,-,1627,66.9,syau.edu.cn
1713,National University of Comahue,Argentina,9,-,-,-,1628,66.9,uncoma.edu.ar
1714,Oita University,Japan,109,-,-,-,1629,66.9,oita-u.ac.jp
1715,Yazd University,Iran,28,-,-,-,1630,66.9,yazd.ac.ir
1716,University of Gondar,Ethiopia,2,-,-,-,1631,66.9,uog.edu.et
1717,Mendel University in Brno,Czech Republic,9,-,-,-,1632,66.9,mendelu.cz
1718,University of Jammu,India,46,-,-,-,1634,66.8,jammuuniversity.in
1719,University of Technology of Compiègne,France,75,-,-,-,1635,66.8,utc.fr
1720,Federal University of Mato Grosso,Brazil,48,-,-,-,1636,66.8,ufmt.br
1721,Shandong University of Technology,China,230,-,1364,-,1639,66.8,sdut.edu.cn
1722,Amrita Vishwa Vidyapeetham,India,47,-,-,-,1638,66.8,amrita.edu
1723,Payame Noor University,Iran,29,-,-,-,1641,66.8,pnu.ac.ir
1724,Roskilde University,Denmark,7,-,-,-,1642,66.8,ruc.dk
1725,Sookmyung Women's University,South Korea,56,-,1079,-,1646,66.8,sookmyung.ac.kr
1726,National Defense Medical College,Japan,110,-,-,-,1644,66.8,ndmc.ac.jp
1727,Homi Bhabha National Institute,India,48,-,-,-,1645,66.8,hbni.ac.in
1728,Towson University,USA,324,-,792,-,1678,66.8,towson.edu
1729,Sanjay Gandhi Postgraduate Institute of Medical Sciences,India,49,-,-,-,1649,66.8,sgpgi.ac.in
1730,University of the West of Scotland,United Kingdom,89,-,-,-,1650,66.8,uws.ac.uk
1731,Urmia University,Iran,30,-,-,-,1651,66.8,urmia.ac.ir
1732,AgroSup Dijon,France,76,-,-,-,1653,66.8,agrosupdijon.fr
1733,University of Ruhuna,Sri Lanka,2,-,-,-,1655,66.8,ruh.ac.lk
1734,"Vietnam National University, Ho Chi Minh City",Vietnam,4,-,-,-,1656,66.8,vnuhcm.edu.vn
1735,San Francisco de Quito University,Ecuador,1,-,-,-,1657,66.8,usfq.edu.ec
1736,V.M. Glushkov Institute of Cybernetics of the National Academy of Sciences of Ukraine,Ukraine,3,-,-,-,1658,66.8,incyb.kiev.ua
1737,Kawasaki Medical School,Japan,111,-,-,-,1659,66.8,kawasaki-m.ac.jp
1738,Nanchang Hangkong University,China,231,-,-,-,1660,66.8,nchu.edu.cn
1739,Franklin & Marshall College,USA,325,111,894,-,-,66.8,fandm.edu
1740,Federal University of Campina Grande,Brazil,49,-,-,-,1661,66.8,ufcg.edu.br
1741,A.V. Nikolaev Institute of Inorganic Chemistry of the Siberian Branch of the Russian Academy of Sciences,Russia,35,-,-,-,1666,66.8,niic.nsc.ru
1742,Technical University of Crete,Greece,12,-,-,-,1667,66.8,tuc.gr
1743,Chubu University,Japan,112,-,-,-,1668,66.8,chubu.ac.jp
1744,Ludong University,China,232,-,-,-,1669,66.7,ldu.edu.cn
1745,A.A. Kharkevich Institute for Information Transmission Problems of the Russian Academy of Sciences,Russia,36,-,-,-,1670,66.7,iitp.ru
1746,Georgian Technical University,Georgia,3,-,-,-,1671,66.7,gtu.ge
1747,Xi'an University of Architecture and Technology,China,233,-,829,-,1694,66.7,xauat.edu.cn
1748,Mae Fah Luang University,Thailand,9,-,-,-,1672,66.7,mfu.ac.th
1749,University of Science and Technology Houari Boumediene,Algeria,1,-,-,-,1674,66.7,usthb.dz
1750,Drew University,USA,326,-,872,124,-,66.7,drew.edu
1751,Sakarya University,Turkey,42,-,-,-,1675,66.7,sakarya.edu.tr
1752,"California State University, Sacramento",USA,327,-,614,-,1723,66.7,csus.edu
1753,N.N. Bogolyubov Institute for Theoretical Physics of the National Academy of Sciences of Ukraine,Ukraine,4,-,-,-,1676,66.7,bitp.kiev.ua
1754,Sechenov University,Russia,37,-,1444,-,1679,66.7,sechenov.ru
1755,University of Mazandaran,Iran,31,-,-,-,1677,66.7,umz.ac.ir
1756,IE University,Spain,52,-,140,-,-,66.7,ie.edu
1757,Osaka Medical College,Japan,113,-,-,-,1680,66.7,osaka-med.ac.jp
1758,University of the Philippines Diliman,Philippines,3,-,-,-,1681,66.7,upd.edu.ph
1759,Zhejiang Chinese Medical University,China,234,-,-,-,1682,66.7,zcmu.edu.cn
1760,Cyprus University of Technology,Cyprus,2,-,-,-,1683,66.7,cut.ac.cy
1761,University of Notre Dame Australia,Australia,38,-,-,-,1684,66.7,notredame.edu.au
1762,University of Malta,Malta,1,-,-,-,1685,66.7,um.edu.mt
1763,Diego Portales University,Chile,12,-,-,-,1686,66.7,udp.cl
1764,Manisa Celal Bayar University,Turkey,43,-,-,-,1688,66.7,mcbu.edu.tr
1765,University of South-Eastern Norway,Norway,13,-,-,-,1689,66.7,usn.no
1766,"Goldsmiths, University of London",United Kingdom,90,303,-,-,1714,66.7,gold.ac.uk
1767,Yunnan Normal University,China,235,-,-,-,1690,66.7,ynnu.edu.cn
1768,University of Madras,India,50,428,510,-,1783,66.7,unom.ac.in
1769,Hankuk University of Foreign Studies,South Korea,57,-,401,-,1824,66.6,hufs.ac.kr
1770,South Dakota School of Mines and Technology,USA,328,136,-,-,1923,66.6,sdsmt.edu
1771,University of the Highlands and Islands,United Kingdom,91,-,-,-,1691,66.6,uhi.ac.uk
1772,Kaunas University of Technology,Lithuania,3,-,-,-,1692,66.6,ktu.edu
1773,Technological University Dublin,Ireland,9,-,795,-,1712,66.6,tudublin.ie
1774,Alfaisal University,Saudi Arabia,6,-,-,-,1693,66.6,alfaisal.edu
1775,Başkent University,Turkey,44,-,-,-,1695,66.6,baskent.edu.tr
1776,Annamalai University,India,51,526,-,-,1696,66.6,annamalaiuniversity.ac.in
1777,Kanagawa University,Japan,114,-,-,-,1697,66.6,kanagawa-u.ac.jp
1778,Mid Sweden University,Sweden,15,-,1456,-,1698,66.6,miun.se
1779,Karlstad University,Sweden,16,-,1134,-,1703,66.6,kau.se
1780,University of Technology of Belfort-Montbéliard,France,77,-,-,-,1699,66.6,utbm.fr
1781,Henan University of Technology,China,236,-,-,-,1700,66.6,haut.edu.cn
1782,Jamia Millia Islamia,India,52,-,-,-,1701,66.6,jmi.ac.in
1783,Free University of Bozen-Bolzano,Italy,63,-,-,-,1702,66.6,unibz.it
1784,Federal University of Ouro Preto,Brazil,50,-,-,-,1704,66.6,ufop.br
1785,University of Valle,Colombia,6,-,-,-,1705,66.6,univalle.edu.co
1786,University of La Réunion,France,78,-,-,-,1706,66.6,univ-reunion.fr
1787,University of Karachi,Pakistan,7,-,-,-,1707,66.6,uok.edu.pk
1788,Pamukkale University,Turkey,45,-,-,-,1708,66.6,pau.edu.tr
1789,Bond University,Australia,39,-,-,-,1710,66.6,bond.edu.au
1790,Beijing Technology and Business University,China,237,-,862,-,1726,66.6,btbu.edu.cn
1791,Zhongnan University of Economics and Law,China,238,-,147,-,-,66.6,zuel.edu.cn
1792,National United University,Taiwan,31,-,-,-,1711,66.6,nuu.edu.tw
1793,Indian Institute of Technology Bhubaneswar,India,53,-,-,-,1713,66.6,iitbbs.ac.in
1794,University of Dhaka,Bangladesh,1,-,-,-,1715,66.6,du.ac.bd
1795,China West Normal University,China,239,-,-,-,1716,66.6,cwnu.edu.cn
1796,IHE Delft Institute for Water Education,Netherlands,14,-,-,-,1717,66.5,un-ihe.org
1797,Rajiv Gandhi University of Health Sciences,India,54,-,-,-,1718,66.5,rguhs.ac.in
1798,Le Mans University,France,79,-,-,-,1719,66.5,univ-lemans.fr
1799,Xinjiang Medical University,China,240,-,-,-,1720,66.5,xjmu.edu.cn
1800,University of Agriculture in Krakow,Poland,29,-,-,-,1721,66.5,urk.edu.pl
1801,Kennesaw State University,USA,329,-,-,-,1722,66.5,kennesaw.edu
1802,Hebei Agricultural University,China,241,-,-,-,1724,66.5,hebau.edu.cn
1803,V.S. Sobolev Institute of Geology and Mineralogy of the Siberian Branch of the Russian Academy of Sciences,Russia,38,-,-,-,1725,66.5,igm.nsc.ru
1804,Tunghai University,Taiwan,32,-,1429,-,1727,66.5,thu.edu.tw
1805,University of Burgos,Spain,53,-,-,-,1728,66.5,ubu.es
1806,University of Zielona Góra,Poland,30,-,-,-,1729,66.5,uz.zgora.pl
1807,University of Bialystok,Poland,31,-,-,-,1730,66.5,uwb.edu.pl
1808,Clausthal University of Technology,Germany,70,-,683,-,1775,66.5,tu-clausthal.de
1809,University of Winnipeg,Canada,40,-,-,-,1731,66.5,uwinnipeg.ca
1810,Suranaree University of Technology,Thailand,10,-,-,-,1732,66.5,sut.ac.th
1811,Wrocław University of Environmental and Life Sciences,Poland,32,-,-,-,1733,66.5,upwr.edu.pl
1812,Federal Rural University of Rio de Janeiro,Brazil,51,-,-,-,1734,66.5,ufrrj.br
1813,University of Sharjah,United Arab Emirates,3,-,-,-,1735,66.5,sharjah.ac.ae
1814,Guru Nanak Dev University,India,55,-,1378,-,1736,66.5,gndu.ac.in
1815,Nara Women's University,Japan,115,-,-,-,1737,66.5,nara-wu.ac.jp
1816,University of Roehampton,United Kingdom,92,-,-,-,1738,66.5,roehampton.ac.uk
1817,Florida Agricultural and Mechanical University,USA,330,-,-,-,1739,66.5,famu.edu
1818,University of Alaska Anchorage,USA,331,-,-,-,1740,66.5,uaa.alaska.edu
1819,Minia University,Egypt,15,-,-,-,1741,66.5,minia.edu.eg
1820,Autonomous University of the State of Morelos,Mexico,14,-,-,-,1742,66.5,uaem.mx
1821,Kettering University,USA,332,-,95,-,-,66.5,kettering.edu
1822,Kanazawa Medical University,Japan,116,-,-,-,1743,66.4,kanazawa-med.ac.jp
1823,Interdisciplinary Center Herzliya,Israel,9,-,519,-,1827,66.4,idc.ac.il
1824,Institute of Ecology (INECOL),Mexico,15,-,-,-,1744,66.4,inecol.mx
1825,Far Eastern Federal University,Russia,39,-,-,-,1746,66.4,dvfu.ru
1826,Xavier University,USA,333,-,115,-,-,66.4,xavier.edu
1827,University of Talca,Chile,13,-,-,-,1747,66.4,utalca.cl
1828,National Changhua University of Education,Taiwan,33,-,-,-,1748,66.4,ncue.edu.tw
1829,Kansai University,Japan,117,-,744,-,1785,66.4,kansai-u.ac.jp
1830,Aoyama Gakuin University,Japan,118,-,565,-,1817,66.4,aoyama.ac.jp
1831,Van Yüzüncü Yıl University,Turkey,46,-,-,-,1749,66.4,yyu.edu.tr
1832,University of Peshawar,Pakistan,8,-,-,-,1750,66.4,uop.edu.pk
1833,M.M. Shemyakin and Y.A. Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,Russia,40,-,-,-,1751,66.4,ibch.ru
1834,Shanghai Institute of Technology,China,242,-,-,-,1752,66.4,sit.edu.cn
1835,Muhimbili University of Health and Allied Sciences,Tanzania,1,-,-,-,1753,66.4,muhas.ac.tz
1836,Polytechnic Institute of Porto,Portugal,13,-,-,-,1754,66.4,ipp.pt
1837,N.D. Zelinsky Institute of Organic Chemistry of the Russian Academy of Sciences,Russia,41,-,-,-,1755,66.4,zioc.ru
1838,Zhengzhou University of Light Industry,China,243,-,-,-,1756,66.4,zzuli.edu.cn
1839,Humanitas University,Italy,64,-,-,-,1757,66.4,hunimed.eu
1840,Duquesne University,USA,334,-,820,-,1784,66.4,duq.edu
1841,Guilin University of Technology,China,244,-,-,-,1759,66.4,glut.edu.cn
1842,Embry-Riddle Aeronautical University,USA,335,-,-,-,1760,66.4,erau.edu
1843,Shanghai University of Electric Power,China,245,-,-,-,1761,66.4,shiep.edu.cn
1844,Kyoto Sangyo University,Japan,119,-,1087,243,-,66.4,kyoto-su.ac.jp
1845,University of Northern British Columbia,Canada,41,-,-,-,1762,66.4,unbc.ca
1846,National Yunlin University of Science and Technology,Taiwan,34,-,-,-,1763,66.4,yuntech.edu.tw
1847,Malmö University,Sweden,17,-,-,-,1764,66.4,mau.se
1848,Xinxiang Medical University,China,246,-,-,-,1765,66.4,xxmu.edu.cn
1849,Industrial University of Santander,Colombia,7,-,-,-,1766,66.3,uis.edu.co
1850,"Institute of Chemical Technology, Mumbai",India,56,-,-,-,1767,66.3,ictmumbai.edu.in
1851,College of Staten Island,USA,336,-,-,-,1770,66.3,csi.cuny.edu
1852,Gebze Technical University,Turkey,47,-,-,-,1771,66.3,gtu.edu.tr
1853,Bahauddin Zakariya University,Pakistan,9,-,-,-,1772,66.3,bzu.edu.pk
1854,Autonomous University of Sinaloa,Mexico,16,-,-,-,1773,66.3,uas.edu.mx
1855,College of Saint Benedict and Saint John's University,USA,337,-,96,-,-,66.3,csbsju.edu
1856,Hanbat National University,South Korea,58,-,-,-,1774,66.3,hanbat.ac.kr
1857,Federal University of Triângulo Mineiro,Brazil,52,-,-,-,1776,66.3,uftm.edu.br
1858,University of Richmond,USA,338,-,-,-,1777,66.3,richmond.edu
1859,University of Nova Gorica,Slovenia,3,-,-,-,1778,66.3,ung.si
1860,Gheorghe Asachi Technical University of Iaşi,Romania,10,-,-,-,1779,66.3,tuiasi.ro
1861,Sichuan Normal University,China,247,-,-,-,1780,66.3,sicnu.edu.cn
1862,Dongguan University of Technology,China,248,-,-,-,1781,66.3,dgut.edu.cn
1863,Mekelle University,Ethiopia,3,-,-,-,1782,66.3,mu.edu.et
1864,Taibah University,Saudi Arabia,7,-,-,-,1786,66.3,taibahu.edu.sa
1865,Federal University of Alagoas,Brazil,53,-,-,-,1787,66.3,ufal.br
1866,Cracow University of Technology,Poland,33,-,-,-,1788,66.3,pk.edu.pl
1867,"West Pomeranian University of Technology, Szczecin",Poland,34,-,-,-,1789,66.3,zut.edu.pl
1868,Nagaoka University of Technology,Japan,120,-,-,-,1791,66.3,nagaokaut.ac.jp
1869,Mediterranean University of Reggio Calabria,Italy,65,-,-,-,1792,66.3,unirc.it
1870,Sohag University,Egypt,16,-,-,-,1793,66.3,sohag-univ.edu.eg
1871,Edinburgh Napier University,United Kingdom,93,-,-,-,1794,66.3,napier.ac.uk
1872,İnönü University,Turkey,48,-,-,-,1795,66.3,inonu.edu.tr
1873,Rosalind Franklin University of Medicine and Science,USA,339,-,-,-,1796,66.3,rosalindfranklin.edu
